DATE(UTC), TIME(UTC), BMPTEMP(C), BMPP(hPa), BMPALT(M), DHTT(C), DHTH(%)
23/04/2015,16:39:54,47.2,860,1355.843922,25,31.29999924
23/04/2015,16:40:13,47.2,860,1355.938943,25,31.10000038
23/04/2015,16:40:29,47.3,860,1356.414064,25.10000038,31.60000038
23/04/2015,16:40:35,47.3,860,1356.984238,25.10000038,31.89999962
23/04/2015,16:40:51,47.4,860,1356.319038,25.10000038,31.70000076
23/04/2015,16:40:59,47.4,860,1356.509091,25.10000038,31.60000038
23/04/2015,16:41:24,47.4,860,1356.604118,25.10000038,32.29999924
23/04/2015,16:41:29,47.5,860,1356.509091,25.20000076,31.5
23/04/2015,16:41:46,47.5,860,1355.843922,25.20000076,31.5
23/04/2015,16:41:52,47.5,860,1356.509091,25.20000076,31.29999924
23/04/2015,16:42:09,47.6,860,1356.224013,25.20000076,31.29999924
23/04/2015,16:42:14,47.6,860,1357.269337,25.20000076,31.20000076
23/04/2015,16:42:31,47.6,860,1357.07927,25.20000076,31.20000076
23/04/2015,16:42:36,47.6,860,1357.07927,25.20000076,31.10000038
23/04/2015,16:42:53,47.7,860,1356.509091,25.20000076,31.10000038
23/04/2015,16:42:59,47.7,860,1356.699147,25.20000076,31.10000038
23/04/2015,16:43:37,47.8,860,1356.224013,25.20000076,31.70000076
23/04/2015,16:43:42,47.8,860,1356.699147,25.20000076,31
23/04/2015,16:44:01,47.9,860,1357.459408,25.20000076,30.89999962
23/04/2015,16:44:07,47.9,860,1356.794176,25.20000076,31.10000038
23/04/2015,16:44:24,47.9,860,1357.07927,25.20000076,31.20000076
23/04/2015,16:44:34,48,860,1357.07927,25.20000076,31.10000038
23/04/2015,16:44:53,48,860,1356.604118,25.20000076,30.70000076
23/04/2015,16:45:01,48,860,1356.699147,25.20000076,31
23/04/2015,16:45:23,48.1,860,1356.414064,25.20000076,31.10000038
23/04/2015,16:45:29,48.1,860,1357.07927,25.20000076,30.79999924
23/04/2015,16:45:58,48.2,860,1357.269337,25.29999924,30.70000076
23/04/2015,16:46:04,48.2,860,1357.74452,25.29999924,22.29999924
23/04/2015,16:46:21,48.2,860,1357.364372,25.29999924,30.89999962
23/04/2015,16:46:34,48.2,860,1357.649482,25.29999924,31.20000076
23/04/2015,16:46:53,48.3,860,1356.984238,25.29999924,30.89999962
23/04/2015,16:47:12,48.3,860,1357.459408,25.29999924,28.60000038
23/04/2015,16:47:29,48.3,860,1357.74452,23.10000038,90.69999695
23/04/2015,16:47:44,48.4,860,1356.794176,22,95.90000153
23/04/2015,16:48:01,48.4,860,1356.604118,20.60000038,94
23/04/2015,16:48:06,48.4,860,1355.653882,17.70000076,56.70000076
23/04/2015,16:48:31,48.6,860,1355.938943,17.5,41
23/04/2015,16:48:36,48.6,860,1355.938943,17.89999962,31.20000076
23/04/2015,16:48:57,48.6,860,1354.988769,17.5,31.5
23/04/2015,16:49:05,48.6,860,1354.798745,17.39999962,31.5
23/04/2015,16:49:22,48.7,860,1354.988769,17.70000076,31.60000038
23/04/2015,16:49:27,48.7,860,1354.3237,18.20000076,30.89999962
23/04/2015,16:49:46,48.7,860,1354.228694,18.10000038,30.79999924
23/04/2015,16:49:52,48.7,860,1354.513715,18,30.79999924
23/04/2015,16:50:11,48.8,860,1354.608724,17.89999962,30.70000076
23/04/2015,16:50:18,48.8,860,1354.418707,16.5,31.89999962
23/04/2015,16:50:56,48.9,860,1353.848678,16.39999962,32.79999924
23/04/2015,16:51:01,48.9,860,1353.848678,15.60000038,34.20000076
23/04/2015,16:51:18,49,860,1354.3237,15.5,34.20000076
23/04/2015,16:51:24,49,860,1354.228694,15.10000038,34.40000153
23/04/2015,16:51:40,49,860,1354.798745,15,34.5
23/04/2015,16:51:46,49,860,1354.798745,14.89999962,34.40000153
23/04/2015,16:52:03,49,860,1355.083782,14.69999981,34.29999924
